date,region,id,ICUAvail,ICUCapacity,VentsAvailable,VentsCapacity
2020-11-22,Region 1,1,42,179,200,346
2020-11-22,Region 10,10,127,717,581,918
2020-11-22,Region 11,11,236,919,1235,1762
2020-11-22,Region 2,2,69,257,397,482
2020-11-22,Region 3,3,28,163,286,417
2020-11-22,Region 4,4,24,119,101,165
2020-11-22,Region 5,5,22,89,245,284
2020-11-22,Region 6,6,54,160,270,322
2020-11-22,Region 7,7,28,162,54,133
2020-11-22,Region 8,8,70,373,327,576
2020-11-22,Region 9,9,59,187,237,290
2020-11-23,Region 1,1,48,179,208,346
2020-11-23,Region 10,10,94,719,554,918
2020-11-23,Region 11,11,218,921,1209,1755
2020-11-23,Region 2,2,60,257,375,482
2020-11-23,Region 3,3,26,167,287,418
2020-11-23,Region 4,4,23,118,101,165
2020-11-23,Region 5,5,27,84,246,261
2020-11-23,Region 6,6,51,160,273,322
2020-11-23,Region 7,7,34,162,60,132
2020-11-23,Region 8,8,65,344,323,576
2020-11-23,Region 9,9,50,176,235,290
2020-11-24,Region 1,1,47,179,206,346
2020-11-24,Region 10,10,139,719,578,918
2020-11-24,Region 11,11,182,933,1244,1755
2020-11-24,Region 2,2,62,257,370,482
2020-11-24,Region 3,3,31,167,276,418
2020-11-24,Region 4,4,18,119,93,157
2020-11-24,Region 5,5,12,88,248,264
2020-11-24,Region 6,6,49,160,269,322
2020-11-24,Region 7,7,34,162,55,137
2020-11-24,Region 8,8,68,344,312,576
2020-11-24,Region 9,9,42,187,232,290
2020-11-25,Region 1,1,34,179,213,348
2020-11-25,Region 10,10,133,719,580,924
2020-11-25,Region 11,11,202,933,1207,1750
2020-11-25,Region 2,2,46,257,364,472
2020-11-25,Region 3,3,20,172,292,418
2020-11-25,Region 4,4,20,115,105,164
2020-11-25,Region 5,5,12,87,241,264
2020-11-25,Region 6,6,48,160,264,322
2020-11-25,Region 7,7,29,162,64,137
2020-11-25,Region 8,8,67,344,325,576
2020-11-25,Region 9,9,50,187,231,290
2020-11-26,Region 1,1,54,179,216,348
2020-11-26,Region 10,10,148,719,577,924
2020-11-26,Region 11,11,219,931,1258,1750
2020-11-26,Region 2,2,42,257,359,472
2020-11-26,Region 3,3,25,175,298,418
2020-11-26,Region 4,4,21,115,103,164
2020-11-26,Region 5,5,12,87,242,264
2020-11-26,Region 6,6,52,160,272,322
2020-11-26,Region 7,7,39,162,64,137
2020-11-26,Region 8,8,72,344,329,576
2020-11-26,Region 9,9,51,187,235,290
2020-11-27,Region 1,1,37,179,214,348
2020-11-27,Region 10,10,150,719,558,924
2020-11-27,Region 11,11,220,929,1216,1751
2020-11-27,Region 2,2,42,257,373,472
2020-11-27,Region 3,3,25,175,296,418
2020-11-27,Region 4,4,21,113,96,164
2020-11-27,Region 5,5,14,88,245,264
2020-11-27,Region 6,6,45,160,269,322
2020-11-27,Region 7,7,28,162,68,137
2020-11-27,Region 8,8,72,344,351,576
2020-11-27,Region 9,9,50,187,232,290
2020-11-28,Region 1,1,44,179,263,354
2020-11-28,Region 10,10,148,719,563,909
2020-11-28,Region 11,11,259,934,1197,1751
2020-11-28,Region 2,2,54,257,370,471
2020-11-28,Region 3,3,18,140,298,418
2020-11-28,Region 4,4,22,112,104,166
2020-11-28,Region 5,5,14,88,246,264
2020-11-28,Region 6,6,48,160,269,322
2020-11-28,Region 7,7,30,162,61,136
2020-11-28,Region 8,8,94,344,333,576
2020-11-28,Region 9,9,54,187,231,290
2020-11-29,Region 1,1,40,179,247,354
2020-11-29,Region 10,10,148,719,570,909
2020-11-29,Region 11,11,242,934,1237,1751
2020-11-29,Region 2,2,56,257,371,472
2020-11-29,Region 3,3,26,163,291,418
2020-11-29,Region 4,4,19,113,107,164
2020-11-29,Region 5,5,14,88,249,264
2020-11-29,Region 6,6,43,160,269,322
2020-11-29,Region 7,7,34,162,65,136
2020-11-29,Region 8,8,82,344,340,576
2020-11-29,Region 9,9,40,187,223,290
2020-11-30,Region 1,1,34,179,225,354
2020-11-30,Region 10,10,137,719,556,909
2020-11-30,Region 11,11,207,932,1117,1753
2020-11-30,Region 2,2,48,257,358,472
2020-11-30,Region 3,3,20,166,298,421
2020-11-30,Region 4,4,15,113,117,166
2020-11-30,Region 5,5,11,88,232,257
2020-11-30,Region 6,6,42,160,271,322
2020-11-30,Region 7,7,31,162,64,130
2020-11-30,Region 8,8,98,344,305,576
2020-11-30,Region 9,9,44,187,223,290
2020-12-01,Region 1,1,34,179,232,354
2020-12-01,Region 10,10,114,719,539,928
2020-12-01,Region 11,11,192,932,1112,1756
2020-12-01,Region 2,2,37,255,360,472
2020-12-01,Region 3,3,22,169,308,421
2020-12-01,Region 4,4,20,113,116,166
2020-12-01,Region 5,5,14,89,224,260
2020-12-01,Region 6,6,44,160,270,322
2020-12-01,Region 7,7,33,162,81,137
2020-12-01,Region 8,8,69,344,316,576
2020-12-01,Region 9,9,44,187,223,291
2020-12-02,Region 1,1,38,179,237,359
2020-12-02,Region 10,10,109,719,539,928
2020-12-02,Region 11,11,179,930,1233,1773
2020-12-02,Region 2,2,34,255,365,472
2020-12-02,Region 3,3,15,166,294,421
2020-12-02,Region 4,4,20,113,122,166
